prompt_id,category,run_id,timestamp,model,source_index,url,domain,title
P01,Faktische Frage,P01_R01,2026-06-16T12:09:14.717269+00:00,gemini-2.5-flash,0,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGjH6DgstZuhDPLC_WAlfyBF7YZEaFVl_RbApXs-62swqwf6wp6PhLKaFEEZOHPnrp5zH7WVYMOL-GtvvzSZYBrCbNsTX09nSYKXkTTH0esdkwEnJMYOfSxq2AixBOh5P6Lv18zUZGp-kow2L_05DyLPR0Deb1hoSuGK5O779niV4KA,wikipedia.org,wikipedia.org
P01,Faktische Frage,P01_R01,2026-06-16T12:09:14.717269+00:00,gemini-2.5-flash,1,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQENCk8wJFVrPPUw26HwSJ4H-H1CpRudgsECgb-WQEYJRATCfgpZeyyAPCyY577hY42RVrXm1reg8x7E3osao3dFavn_MKJvKFTbegdAb43Czsb9h9R71wlVcC5vH6gEIZdhBURPplm0Grl4SiNp-93S_abj5w5xB9hxfLIhsS1PA443LTZqT5MkElv6S1W_MajvkTp23WWpSuub9FMvsczysS6bgQaTcTWfRoeIAis=,helmholtz-klima.de,helmholtz-klima.de
P01,Faktische Frage,P01_R01,2026-06-16T12:09:14.717269+00:00,gemini-2.5-flash,2,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGJ0IMij92W9yEaRKeH4MUCap3ELAyzDSAAE-IgvDbjQ0fsddRICaw0iCoFBm3paWAxh8cREjDrUKMPJRkQEr-dR4tduQaF6iI-SihI4wIoSsD3f_Ncho8mwvkua5QD2t60WnO-ZV_3-1eF1wRbOgv1furwfb1t8QPQpKw70QSrozUmP7nrvTmh4oKB5aOfDXCRCRYHxJhlIrd9CIEMN0-3uQ6xgLfvzbT0iHnFH6rqHB9kQL-zi0y6MkCVyTorbXbwwzSbLcffTfLQ8YD3cXsyQQjcAEAofmfZj6GyuEBDX6Sv2WpyHyVkk1Xn9ATgotlFAg==,ccca.ac.at,ccca.ac.at
P01,Faktische Frage,P01_R01,2026-06-16T12:09:14.717269+00:00,gemini-2.5-flash,3,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHTUrCiHwNKmXACJbQCC4RbQVLwww7Ezn5SGPkE7J6l3_bUqd_xRfPf5fRo1Upe0Sfasnpntnz2SBqBXNBsRQrPUab2enJXfkdNUXGuIhPWmQVE0HDnDVFPBnxjikRZsRYisLBbTOJagzhMqLKh2xlAmG6O5gbrybzXezA6Stmbe-lkS7c3ZyifLoOAzzIXe8HtRniazxfNUn-oLLt4dg==,admin.ch,admin.ch
P01,Faktische Frage,P01_R01,2026-06-16T12:09:14.717269+00:00,gemini-2.5-flash,4,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFFPaS1c_N3_0sEuPjm9yB7CpW6ibdTuZhBOcFvDZYHfU8PodDLRu_L7wn9NT2JxvyTZXahqrglvsnB4EGgszAZ6HFIwiSX-R5mkM6-mz0T5lxrG_LrCXo24e-rggsP_nOUYs210U59DlTYlmACLs5teDlp8CDQXXgeS45p6B62qH5WNC1Y7dvfUeYwH39c5FLCrgnEKljjOlx2mprrCR2NFmCY6ySqDj_hU6uONWaj6ubjcyxDi3c=,hamburg.de,hamburg.de
P01,Faktische Frage,P01_R01,2026-06-16T12:09:14.717269+00:00,gemini-2.5-flash,5,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQGlZBRUXf6qooeBLWIG_wnWfdp770BpkPPFOMxUENsQW5SKx5bHFy054kBGk33bjIwsUEzKqXDSq5t-rTCxL065KumWvgimxkd3bs82N7MyUentQYs_PUQ4pIrj1ANdRMLaKD3XHOwzBmCwYBCgO_b8sVSWUaGdWor0tTFQEkppcczqL-y96rlAO8A905dWcXzRrPl4uFu-iegruDvYT3wDG-m2AA==,esa.int,esa.int
P01,Faktische Frage,P01_R01,2026-06-16T12:09:14.717269+00:00,gemini-2.5-flash,6,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQF62NEkIYSegzLxgjceREUfAi4zYugO83Q-zFgThGUrdN899LiwZY2npQhnj3e5XMESXbXIxmtBcqKMWlBvbosxiDzMZ1Th2qEBkkO18AK10rxf7yTUEr1a72emd9_jTiWH-s_FlBGGi1_eqzEcaMXKMWw1P0EIuO_zMH3L6gv-EnI=,unicef.de,unicef.de
P01,Faktische Frage,P01_R01,2026-06-16T12:09:14.717269+00:00,gemini-2.5-flash,7,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQEpjESpDa7DGO0VL26Va6Tn1E5TIyMOYLoUIj8DNxFGMZzRMDxAJOvn0F2E6IiYj_tiKed2sWY-wHw3QFf1AisaD60YATFk3ckJlyCu6cLK8jR8qxrePjTIsY3YDk01upU-tSBtV4t8spWlo0kUBV237Fq53fYk9g==,welthungerhilfe.de,welthungerhilfe.de
P01,Faktische Frage,P01_R01,2026-06-16T12:09:14.717269+00:00,gemini-2.5-flash,8,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQHAus9EDwdpeLjIyUyFk4LuhtraPH_GpqgreaG0Ie7IqBDjdEbHqDSMrmCCdvEoKI9Oc9nEjFmiOxMZsFUh4swq1SdQZBuNr46APnGfwYnyutGsP20wElPoR98tN1Wk2FNiOIcN9n4IMw9OTIeDSkJLDh0=,care.de,care.de
P01,Faktische Frage,P01_R01,2026-06-16T12:09:14.717269+00:00,gemini-2.5-flash,9,https://vertexaisearch.cloud.google.com/grounding-api-redirect/AUZIYQFoCglF1eCeQtNNzm8m_HyKwci13n8rac8Ll658Np3k2hq89-JYzc6k0mAN4O1K-2E2es4WxfT4N_5o8dznuC_rC6Q2-a1GUO5kolofr5MzL07JvAO4t0svdPrtK9x68CP10VjO-3vjfql86uzprsxkgOIxcrW-F5c=,greenpeace.at,greenpeace.at
