prompt_id,category,run_id,timestamp,model,source_index,url,domain,title,source_extraction_method
P01,Faktische Frage,P01_R01,2026-06-16T17:35:09.390179+00:00,gemini-3.1-flash-lite,0,https://www.ipcc.ch/report/ar6/syr/,ipcc.ch,,text_regex
P01,Faktische Frage,P01_R01,2026-06-16T17:35:09.390179+00:00,gemini-3.1-flash-lite,1,https://www.deutsches-klima-konsortium.de/de/klimawissen.html,deutsches-klima-konsortium.de,,text_regex
P01,Faktische Frage,P01_R01,2026-06-16T17:35:09.390179+00:00,gemini-3.1-flash-lite,2,https://climate.nasa.gov/,climate.nasa.gov,,text_regex
P01,Faktische Frage,P01_R01,2026-06-16T17:35:09.390179+00:00,gemini-3.1-flash-lite,3,https://public.wmo.int/en/our-mandate/climate/wmo-statement-state-of-global-climate,public.wmo.int,,text_regex
P01,Faktische Frage,P01_R01,2026-06-16T17:35:09.390179+00:00,gemini-3.1-flash-lite,4,https://www.klimafakten.de/,klimafakten.de,,text_regex
P01,Faktische Frage,P01_R02,2026-06-16T17:35:19.175855+00:00,gemini-3.1-flash-lite,0,https://www.ipcc.ch/report/ar6/wg1/,ipcc.ch,,text_regex
P01,Faktische Frage,P01_R02,2026-06-16T17:35:19.175855+00:00,gemini-3.1-flash-lite,1,https://www.ipcc.ch/report/ar6/syr/,ipcc.ch,,text_regex
P01,Faktische Frage,P01_R02,2026-06-16T17:35:19.175855+00:00,gemini-3.1-flash-lite,2,https://www.worldweatherattribution.org/,worldweatherattribution.org,,text_regex
P01,Faktische Frage,P01_R02,2026-06-16T17:35:19.175855+00:00,gemini-3.1-flash-lite,3,https://www.science.org/doi/10.1126/science.abn7950,science.org,,text_regex
P01,Faktische Frage,P01_R02,2026-06-16T17:35:19.175855+00:00,gemini-3.1-flash-lite,4,https://climate.nasa.gov/,climate.nasa.gov,,text_regex
P01,Faktische Frage,P01_R02,2026-06-16T17:35:19.175855+00:00,gemini-3.1-flash-lite,5,https://report.ipcc.ch/ar6syr/pdf/IPCC_AR6_SYR_LongerReport.pdf,report.ipcc.ch,,text_regex
P01,Faktische Frage,P01_R02,2026-06-16T17:35:19.175855+00:00,gemini-3.1-flash-lite,6,https://www.deutsches-klima-konsortium.de/,deutsches-klima-konsortium.de,,text_regex
P01,Faktische Frage,P01_R02,2026-06-16T17:35:19.175855+00:00,gemini-3.1-flash-lite,7,https://www.carbonbrief.org/,carbonbrief.org,,text_regex
